Date,Open,High,Low,Close,Adj Close,Volume
2010-06-14,10211.830078,10483.440430,10186.209961,10450.639648,10450.639648,1065870000
2010-06-21,10452.459961,10594.160156,10081.080078,10143.809570,10143.809570,1214980000
2010-06-28,10143.049805,10201.929688,9614.320313,9686.480469,9686.480469,1152080000
2010-07-05,9686.480469,10201.769531,9659.009766,10198.030273,10198.030273,807600000
2010-07-12,10199.240234,10407.820313,10079.580078,10097.900391,10097.900391,1064120000
2010-07-19,10098.120117,10441.950195,10007.759766,10424.620117,10424.620117,977500000
2010-07-26,10424.169922,10584.990234,10347.500000,10465.940430,10465.940430,931710000
2010-08-02,10468.820313,10702.990234,10468.589844,10653.559570,10653.559570,800360000
2010-08-09,10654.620117,10719.940430,10268.709961,10303.150391,10303.150391,961800000
2010-08-16,10303.070313,10480.440430,10147.240234,10213.620117,10213.620117,984830000
2010-08-23,10215.509766,10304.700195,9936.620117,10150.650391,10150.650391,964660000
2010-08-30,10145.580078,10451.150391,9941.839844,10447.929688,10447.929688,930140000
2010-09-06,10446.799805,10476.620117,10332.400391,10462.769531,10462.769531,619710000
2010-09-13,10458.599609,10650.160156,10458.599609,10607.849609,10607.849609,1088080000
2010-09-20,10608.080078,10865.780273,10608.080078,10860.259766,10860.259766,848550000
2010-09-27,10860.030273,10948.879883,10728.639648,10829.679688,10829.679688,846280000
2010-10-04,10828.849609,11032.169922,10711.120117,11006.480469,11006.480469,834250000
2010-10-11,11006.929688,11155.230469,10913.839844,11062.780273,11062.780273,1010280000
2010-10-18,11062.629883,11213.540039,10917.620117,11132.559570,11132.559570,940700000
2010-10-25,11133.400391,11247.599609,11020.820313,11118.490234,11118.490234,840130000
2010-11-01,11120.299805,11451.530273,11062.330078,11444.080078,11444.080078,924450000
2010-11-08,11439.540039,11439.610352,11143.839844,11192.580078,11192.580078,984380000
2010-11-15,11194.019531,11280.900391,10978.929688,11203.549805,11203.549805,961650000
2010-11-22,11201.660156,11206.049805,10992.169922,11091.870117,11091.870117,552350000
2010-11-29,11083.750000,11388.870117,10929.280273,11382.089844,11382.089844,949350000
2010-12-06,11381.330078,11450.889648,11327.490234,11410.320313,11410.320313,770260000
2010-12-13,11406.160156,11519.040039,11405.330078,11491.910156,11491.910156,1012060000
2010-12-20,11491.299805,11580.839844,11442.679688,11573.490234,11573.490234,467660000
2010-12-27,11572.809570,11625.000000,11518.440430,11577.509766,11577.509766,438870000
2011-01-03,11577.429688,11742.679688,11577.349609,11674.759766,11674.759766,933840000
2011-01-10,11672.339844,11794.150391,11573.870117,11787.379883,11787.379883,815170000
2011-01-17,11783.820313,11905.480469,11744.769531,11871.839844,11871.839844,799920000
2011-01-24,11873.429688,12020.519531,11803.040039,11823.700195,11823.700195,926210000
2011-01-31,11824.389648,12092.419922,11817.879883,12092.150391,12092.150391,796400000
2011-02-07,12092.379883,12285.940430,12092.299805,12273.259766,12273.259766,881250000
2011-02-14,12266.830078,12391.290039,12193.269531,12391.250000,12391.250000,796100000
2011-02-21,12389.740234,12389.820313,11983.169922,12130.450195,12130.450195,753750000
2011-02-28,12130.450195,12283.099609,12018.629883,12169.879883,12169.879883,854610000
2011-03-07,12171.089844,12257.820313,11936.320313,12044.400391,12044.400391,787500000
2011-03-14,12042.129883,12042.129883,11555.480469,11858.519531,11858.519531,1176310000
2011-03-21,11860.110352,12259.790039,11860.110352,12220.589844,12220.589844,654390000
2011-03-28,12221.190430,12419.709961,12173.509766,12376.719727,12376.719727,726180000
2011-04-04,12374.599609,12450.929688,12320.719727,12380.049805,12380.049805,720760000
2011-04-11,12380.429688,12444.000000,12163.860352,12341.830078,12341.830078,741540000
2011-04-18,12339.709961,12506.059570,12093.889648,12505.990234,12505.990234,710620000
2011-04-25,12505.990234,12832.830078,12446.049805,12810.540039,12810.540039,1000570000
2011-05-02,12810.160156,12876.000000,12521.280273,12638.740234,12638.740234,881460000
2011-05-09,12637.830078,12781.059570,12537.169922,12595.750000,12595.750000,877070000
2011-05-16,12594.769531,12642.900391,12378.839844,12512.040039,12512.040039,893710000
2011-05-23,12511.360352,12511.360352,12309.519531,12441.580078,12441.580078,717490000
2011-05-30,12443.400391,12574.290039,12104.030273,12151.259766,12151.259766,705420000
2011-06-06,12151.190430,12183.120117,11937.419922,11951.910156,11951.910156,814090000
2011-06-13,11945.330078,12120.799805,11862.530273,12004.360352,12004.360352,1027000000
2011-06-20,12004.280273,12217.330078,11874.940430,11934.580078,11934.580078,886570000
2011-06-27,11934.660156,12596.129883,11934.049805,12582.769531,12582.769531,793540000
2011-07-04,12569.870117,12753.889648,12539.209961,12657.200195,12657.200195,540220000
2011-07-11,12655.620117,12655.839844,12406.089844,12479.730469,12479.730469,792090000
2011-07-18,12475.110352,12751.429688,12296.230469,12681.160156,12681.160156,782010000
2011-07-25,12679.719727,12679.950195,12083.450195,12143.240234,12143.240234,836290000
2011-08-01,12144.219727,12282.419922,11139.000000,11444.610352,11444.610352,1295170000
2011-08-08,11433.929688,11434.089844,10604.070313,11269.019531,11269.019531,1928910000
2011-08-15,11269.849609,11529.669922,10801.410156,10817.650391,10817.650391,1192090000
2011-08-22,10820.370117,11406.389648,10820.370117,11284.540039,11284.540039,1197690000
2011-08-29,11286.650391,11716.839844,11211.349609,11240.259766,11240.259766,942140000
2011-09-05,11237.309570,11477.299805,10932.530273,10992.129883,10992.129883,784950000
2011-09-12,10990.009766,11532.469727,10824.759766,11509.089844,11509.089844,1177720000
2011-09-19,11506.820313,11550.219727,10597.139648,10771.480469,10771.480469,1065810000
2011-09-26,10771.780273,11369.299805,10771.780273,10913.379883,10913.379883,1015270000
2011-10-03,10912.099609,11232.049805,10404.490234,11103.120117,11103.120117,1114860000
2011-10-10,11104.559570,11646.830078,11104.559570,11644.490234,11644.490234,743320000
2011-10-17,11643.349609,11812.459961,11296.120117,11808.790039,11808.790039,941450000
2011-10-24,11807.959961,12284.309570,11682.519531,12231.110352,12231.110352,922310000
2011-10-31,12229.219727,12229.290039,11630.030273,11983.240234,11983.240234,842540000
2011-11-07,11983.019531,12187.509766,11736.929688,12153.679688,12153.679688,747030000
2011-11-14,12153.000000,12170.559570,11676.349609,11796.160156,11796.160156,651410000
2011-11-21,11795.549805,11795.700195,11231.429688,11231.650391,11231.650391,559230000
2011-11-28,11232.469727,12146.679688,11232.160156,12019.419922,12019.419922,942500000
2011-12-05,12021.540039,12257.669922,11966.219727,12184.259766,12184.259766,788320000
2011-12-12,12181.080078,12181.379883,11786.469727,11866.389648,11866.389648,1008650000
2011-12-19,11866.540039,12297.440430,11735.190430,12294.000000,12294.000000,695630000
2011-12-26,12293.469727,12328.469727,12140.169922,12217.559570,12217.559570,285070000
2012-01-02,12221.190430,12479.650391,12221.190430,12359.919922,12359.919922,587250000
2012-01-09,12359.309570,12514.690430,12311.790039,12422.059570,12422.059570,683390000
2012-01-16,12423.120117,12720.480469,12423.120117,12720.480469,12720.480469,705980000
2012-01-23,12720.250000,12841.950195,12580.120117,12660.459961,12660.459961,705960000
2012-01-30,12659.169922,12869.950195,12529.410156,12862.230469,12862.230469,699200000
2012-02-06,12860.719727,12924.709961,12743.559570,12801.230469,12801.230469,643140000
2012-02-13,12799.110352,12967.919922,12753.620117,12949.870117,12949.870117,728950000
2012-02-20,12949.339844,13013.820313,12882.669922,12982.950195,12982.950195,498900000
2012-02-27,12981.129883,13055.750000,12882.589844,12977.570313,12977.570313,674050000
2012-03-05,12977.339844,12977.339844,12734.860352,12922.019531,12922.019531,632840000
2012-03-12,12920.580078,13289.080078,12919.980469,13232.620117,13232.620117,981010000
2012-03-19,13231.940430,13269.709961,13002.769531,13080.730469,13080.730469,655630000
2012-03-26,13082.620117,13264.980469,13032.669922,13212.040039,13212.040039,700340000
